Date,Canal,Category,Subcategory,Subcategory2,Marca,Modelo,SKU,UPC,Item,URL SKU,Image,Price,Sales Price,Sales Flag,Store ID,Store Name,Store Address,Stock,UPC WM,Final Price
18/10/2022,Etiendas3b,Cuidado Personal,Dental,,Oral B,CEPILLO DENTAL INFANTIL MICKEY ORAL B,13628,3014260019723,CEPILLO DENTAL INFANTIL MICKEY ORAL B,https://www.etiendas3b.com.mx/producto/cepillo-dental-infantil-mickey-oral-b,https://tiendas3b.s3.amazonaws.com/prod/images/products/original/13628-0.jpg,20.0,20.0,,1ff3984b-b4b7-44da-a4ec-ad99d72b0c7d,,,True,3014260019723,20.0
18/10/2022,Etiendas3b,Cuidado Personal,Dental,,Colgate,Cepillo Dental Procuidado Colgate 1 Unidad,19010,7509546079271,Cepillo Dental Procuidado Colgate 1 Unidad,https://www.etiendas3b.com.mx/producto/cepillo-dental-procuidado-colgate-1-unidad,https://tiendas3b.s3.amazonaws.com/prod/images/products/original/19010-1.jpg,20.0,20.0,,1ff3984b-b4b7-44da-a4ec-ad99d72b0c7d,,,True,7509546079271,20.0
18/10/2022,Etiendas3b,Cuidado Personal,Dental,,Colgate,Pasta Dental Colgate Triple Acción Xtra Frescura 125 Ml,18478,7509546074016,Pasta Dental Colgate Triple Acción Xtra Frescura 125 Ml,https://www.etiendas3b.com.mx/producto/pasta-dental-triple-accion-xtrafr-colgat-125-ml,https://tiendas3b.s3.amazonaws.com/prod/images/products/original/18478-1.png,22.0,22.0,,1ff3984b-b4b7-44da-a4ec-ad99d72b0c7d,,,True,7509546074016,22.0
18/10/2022,Etiendas3b,Farmacia,,,Protec,Alcohol Etílico Desnaturalizado Protec 1 L,18459,7501048333301,Alcohol Etílico Desnaturalizado Protec 1 L,https://www.etiendas3b.com.mx/producto/alcohol-desnaturalizado-protec-1-l,https://tiendas3b.s3.amazonaws.com/prod/images/products/original/18459.png,50.0,50.0,,1ff3984b-b4b7-44da-a4ec-ad99d72b0c7d,,,True,7501048333301,50.0
18/10/2022,Etiendas3b,Farmacia,,,Protec,Alcohol Etílico Desnaturalizado Protec 500 Ml,18458,7501048333202,Alcohol Etílico Desnaturalizado Protec 500 Ml,https://www.etiendas3b.com.mx/producto/alcohol-desnaturalizado-protec-500-ml,https://tiendas3b.s3.amazonaws.com/prod/images/products/original/18458.png,28.0,28.0,,1ff3984b-b4b7-44da-a4ec-ad99d72b0c7d,,,True,7501048333202,28.0
18/10/2022,Etiendas3b,Farmacia,,,Protec,Cubrebocas Desechables De 3 Capas Protec 5 Unidades,19551,7501048782192,Cubrebocas Desechables De 3 Capas Protec 5 Unidades,https://www.etiendas3b.com.mx/producto/cubrebocas-3-capas-desechable-protec-5-unidad,https://tiendas3b.s3.amazonaws.com/prod/images/products/original/19551-0.jpg,14.0,14.0,,1ff3984b-b4b7-44da-a4ec-ad99d72b0c7d,,,True,7501048782192,14.0
18/10/2022,Etiendas3b,Farmacia,,,Britz,Gel Antibacterial Britz 250 Ml,18301,7502273312451,Gel Antibacterial Britz 250 Ml,https://www.etiendas3b.com.mx/producto/gel-antibacterial-britz-250-ml,https://alianza-tiendas3b.s3.amazonaws.com/prod/images/products/original/1663604887~18301-1.jpg,25.0,25.0,,1ff3984b-b4b7-44da-a4ec-ad99d72b0c7d,,,True,7502273312451,25.0
18/10/2022,Etiendas3b,Farmacia,,,Prudence,Condones de Látex Prudence Clásico 3 Unidades,20467,7502214980015,Condones de Látex Prudence Clásico 3 Unidades,https://www.etiendas3b.com.mx/producto/condones-prudence-clasicos-3pzs,https://tiendas3b.s3.amazonaws.com/prod/images/products/original/20467-0.jpg,35.0,35.0,,1ff3984b-b4b7-44da-a4ec-ad99d72b0c7d,,,True,7502214980015,35.0
18/10/2022,Etiendas3b,Los más vendidos,Cuerpo,Cuidado Personal,YEMA,Jabón en barra para cuerpo con Aguacate YEMA 100 gr,18387,7503027879992,Jabón en barra para cuerpo con Aguacate YEMA 100 gr,https://www.etiendas3b.com.mx/producto/jabon-aguacate-yema,https://tiendas3b.s3.amazonaws.com/prod/images/products/original/18387-1.jpg,29.0,29.0,,1ff3984b-b4b7-44da-a4ec-ad99d72b0c7d,,,True,7503027879992,29.0
18/10/2022,Etiendas3b,Los más vendidos,Carnes Frias,,Bafar,Jamón Americano Bafar 200 gr,9058,7501518482072,Jamón Americano Bafar 200 gr,https://www.etiendas3b.com.mx/producto/jamon-americano-bafar-200-gr,https://tiendas3b.s3.amazonaws.com/prod/images/products/original/9058-1.jpg,18.0,18.0,,1ff3984b-b4b7-44da-a4ec-ad99d72b0c7d,,,True,7501518482072,18.0
18/10/2022,Etiendas3b,Los más vendidos,Carnes Frias,,Sparta,Jamón Virginia Pavo Sparta 250 gr,8442,7502261251465,Jamón Virginia Pavo Sparta 250 gr,https://www.etiendas3b.com.mx/producto/jamon-virginia-pavo-sparta-250gr,https://alianza-tiendas3b.s3.amazonaws.com/prod/images/products/original/1657235599~8442-1.jpg,24.0,24.0,,1ff3984b-b4b7-44da-a4ec-ad99d72b0c7d,,,True,7502261251465,24.0
18/10/2022,Etiendas3b,Cuidado del Hogar,Limpieza,,Impek,Limpiador Multiusos Impek Lavanda 4L,3500,7502227983065,Limpiador Multiusos Impek Lavanda 4L,https://www.etiendas3b.com.mx/producto/limpiador-multiusos-lavanda-impek-4l,https://tiendas3b.s3.amazonaws.com/prod/images/products/original/3500.png,23.5,23.5,,1ff3984b-b4b7-44da-a4ec-ad99d72b0c7d,,,True,7502227983065,23.5
18/10/2022,Etiendas3b,Limpieza,Cuidado del Hogar,,Fibroton,Trapo para Cocina de Algodón Fibrotón 1 Unidad,9205,7502261253612,Trapo para Cocina de Algodón Fibrotón 1 Unidad,https://www.etiendas3b.com.mx/producto/trapo-de-cocina-algodon-fibroton,https://tiendas3b.s3.amazonaws.com/prod/images/products/original/9205.png,8.0,8.0,,1ff3984b-b4b7-44da-a4ec-ad99d72b0c7d,,,True,7502261253612,8.0
18/10/2022,Etiendas3b,Limpieza,Cuidado del Hogar,,Harpic,Limpiador Inodoros Sarro Harpic 200 Ml,19106,7501058716552,Limpiador Inodoros Sarro Harpic 200 Ml,https://www.etiendas3b.com.mx/producto/limpiador-inodoros-sarro-harpic-200-ml,https://tiendas3b.s3.amazonaws.com/prod/images/products/original/19106-1.jpg,18.0,18.0,,1ff3984b-b4b7-44da-a4ec-ad99d72b0c7d,,,True,7501058716552,18.0
